skills,German,English,type
appcontrol,Öffne Whatsapp,open Whatsapp,free
calculator,was ist zehn plus zehn ,what is ten plus ten,free
calendar,was für termine habe ich heute,what is on my calendar for today,free
clock,"stelle Timer auf 10 sekunden",set an timer for 10 hours,free
closeava,"Danke","Thanks",free
counter,"Zähle bis 10","Count to 10",free
datetime,wie spät ist es,what time is it,free
finances,wieviel ist ein bitcoin wert,whats the price of bitcoin,free
historyofava,"wer hat dich erschaffen","who is your father",free
imagesearch,Zeig mir Bilder von bonobos,display an image of bonobos,free
joke,erzähl mir einen Witz,tell me a joke,free
musicstream,spiele hello von adele,play hello by adele,free
navigation,"Navigiere mich zu Sonnenzeit in Vlotho","Navigate to sonnenzeit vlotho",free
news,was sind die nachrichten,tell me the news,free
peoplesage,wie alt ist donald trump,how old is donald trump,free
phonecall,rufe Mama an,call Mom,free
randomchoice,würfel werfen,roll a dice,free
uspresident,wer war der erste präsident der usa, who was the first president of usa,free
weather,wie ist das Wetter in London,whats the weather in london,free
wikipedia,wer ist angela merkel,who is donald trump,free
